Savitribai Phule Pune University,Bachelor of Science Applied Environmental Pollution ; Bachelor of Science Applied Electronics ; Bachelor of Science Applied BioMedical Techniques ; Bachelor of Science Applied Pollution Environment,Post in Graduate Certificate Course In Tank Technology ; Basic Diploma in Weapon System ; Post GraduateDiploma in Arment Technology ; Post Graduate Diploma in mobile ware fare communication,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Science Applied Petroleum Technology,Post GraduateDiploma in Automotive Technology,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Science Applied Scientific Instrumentation,Diploma in Equipment nagement,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Science Applied Energy Studies,Diploma in Automotive Technology,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Computer Science,Diploma in Explosive and Arment,http://www.unipune.ac.in/
Savitribai Phule Pune University,"Bachelorâ€™s Degree Bachelor of Science in Physical Education, Health Education and Sports",Diploma in communication Technology,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Engineeringd. Yoga,Certificate course in VLSI Design,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Engineeringd. Vocational,Advanced Diploma in Computer Application A.D.C.A.) Master of Philosophy M.Phil.),http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Engineeringd. Education of Handicapped,Master of Commerce  Master of Commerce.),http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Physical Education,Master of Commerce  Master of Commerce.) External)Post Graduate Diploma in company secretaryship,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Engineeringd. Hearing impaired,Post Graduate Diploma in Salesnship & Advertisement,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Commerce External,Post Graduate Diploma in StatisticsPost-Graduate Diploma In Research Methodology of Education,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Commerce Restructured,Post Graduate Diploma in Taxation,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Science Tech. Weapon System,Post Graduate Diploma in Banking,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Science Applied Optometry,Post Graduate Diploma in Accountancy,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Arts Lalit kala,Post Graduate Diploma in International BusinessDiploma in Education for Teachers of Mentally Retarded Children,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Arts special,Diploma in Sports JournalismDiploma in Taxation LawsDiploma in Labour Laws and Labour Welfare,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Arts Spl,Diploma in Co-operative Laws,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Arts Restructure,Diploma in Criminology,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of ArtsBachelor of Arts General,Diploma in legislative Drafting,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Arts General External,Diploma in Sports Journalism,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Hotel Management & Catering Technology,Special Training Course for Teachers of Mentally Retarded persons,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Fine Arts Doctor of Philosophy,"Certificate Course for Training of Adult education Middle Level Functionaries Anitors) and Supervisors,Doctor of Philosophy Doctor of Philosophy.),Doctor of Laws LL.D.),",http://www.unipune.ac.in/
Savitribai Phule Pune University,Ph.D.Bachelor of Commerce,"Spl. Diploma in Education Hearing Impaired),Doctor Of Philosophy Doctor of Philosophy.) Master of Laws LL.M.)&LL.M.) External)",http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Commerce.Bachelor of Education Physical Education,Master of Labour Laws and Labour Welfare,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Engineeringd. Physical Education,Master of Pharcy Partly by papers) M.Pharm.),http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Science Restructure,Master of Pharcy M.Pharm.),http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Science,Quality Assurance Techniques.,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Laws LL.B.Bachelor of Laws FiveYearBachelor of Social Legal Science,,http://www.unipune.ac.in/
Savitribai Phule Pune University,Bachelor of Pharmacy B.Pharm.,,http://www.unipune.ac.in/